hhnum,usdafoodcat4,grams,totitemexp,price_per_100g,price_source,num_milk_types
100012,1002,3904.0,3.59,0.09195696721311475,observed,1
100012,1004,0.0,0.0,0.09426229508196722,cell,1
100012,1006,0.0,0.0,0.06403688524590163,cell,1
100012,1008,0.0,0.0,0.08910334967320262,cell,1
100015,1002,0.0,0.0,0.09554303278688525,cell,1
100015,1004,3904.0,4.48,0.11475409836065575,observed,1
100015,1006,0.0,0.0,0.10220286885245901,cell,1
100015,1008,0.0,0.0,0.1095281862745098,cell,1
100024,1002,0.0,0.0,0.09682377049180327,cell,1
100024,1004,0.0,0.0,0.09182889344262295,cell,1
100024,1006,3904.0,3.18,0.08145491803278689,observed,1
100024,1008,0.0,0.0,0.08552900326797384,cell,1
100028,1002,3904.0,4.09,0.10476434426229508,observed,1
100028,1004,0.0,0.0,0.10227603036246388,cell,1
100028,1006,0.0,0.0,0.22387295081967212,placetype_rural_nonmetro,1
100028,1008,0.0,0.0,0.08680555555555555,cell,1
100040,1002,0.0,0.0,0.09964139344262296,cell,1
100040,1004,1952.0,2.36,0.12090163934426229,observed,1
100040,1006,0.0,0.0,0.08913934426229508,cell,1
100040,1008,0.0,0.0,0.09012459150326797,cell,1
100049,1002,3904.0,3.73,0.09554303278688525,observed,1
100049,1004,0.0,0.0,0.09182889344262295,cell,1
100049,1006,0.0,0.0,0.08913934426229508,cell,1
100049,1008,0.0,0.0,0.08552900326797384,cell,1
100054,1002,0.0,0.0,0.08427254098360656,cell,0
100054,1004,0.0,3.99,0.07146516393442623,cell,0
100054,1006,0.0,0.0,0.09195696721311475,cell,0
100054,1008,0.0,0.0,0.08016748366013071,placetype,0
100055,1002,0.0,0.0,0.230489417989418,cell,1
100055,1004,3904.0,3.71,0.09503073770491803,observed,1
100055,1006,0.0,0.0,0.07402663934426229,cell,1
100055,1008,0.0,0.0,0.06229575163398693,cell,1
100059,1002,0.0,0.0,0.07914959016393443,cell,1
100059,1004,3904.0,2.99,0.07658811475409837,observed,1
100059,1006,0.0,0.0,0.08939549180327869,cell,1
100059,1008,0.0,0.0,0.07097630718954247,cell,1
100061,1002,0.0,0.0,0.10578893442622951,cell,1
100061,1004,1952.0,2.92,0.14959016393442623,observed,1
100061,1006,0.0,0.0,0.09554303278688525,cell,1
100061,1008,0.0,0.0,0.09395424836601307,cell,1
100067,1002,0.0,0.0,0.09682377049180327,cell,1
100067,1004,3904.0,3.38,0.08657786885245901,observed,1
100067,1006,0.0,0.0,0.08913934426229508,cell,1
100067,1008,0.0,0.0,0.08552900326797384,cell,1
100069,1002,0.0,0.0,0.07914959016393443,cell,0
100069,1004,0.0,2.99,0.08286372950819672,cell,0
100069,1006,0.0,0.0,0.08939549180327869,cell,0
100069,1008,0.0,0.0,0.07097630718954247,cell,0
100076,1002,0.0,0.0,0.09682377049180327,cell,1
100076,1004,0.0,0.0,0.09182889344262295,cell,1
100076,1006,1952.0,2.22,0.11372950819672131,observed,1
100076,1008,0.0,0.0,0.08552900326797384,cell,1
100083,1002,0.0,0.0,0.09682377049180327,cell,1
100083,1004,1952.0,2.0,0.10245901639344263,observed,1
100083,1006,0.0,0.0,0.08913934426229508,cell,1
100083,1008,0.0,0.0,0.08552900326797384,cell,1
100088,1002,979.2,1.76,0.17973856209150327,observed,2
100088,1004,7808.0,7.1,0.09093237704918032,observed,2
100088,1006,0.0,0.0,0.08913934426229508,cell,2
100088,1008,0.0,0.0,0.08552900326797384,cell,2
100093,1002,0.0,0.0,0.07914959016393443,cell,1
100093,1004,0.0,0.0,0.09182889344262295,cell,1
100093,1006,3904.0,2.79,0.07146516393442623,observed,1
100093,1008,0.0,0.0,0.12714460784313725,cell,1
100095,1002,3904.0,2.49,0.06378073770491804,observed,1
100095,1004,0.0,0.0,0.07402663934426229,cell,1
100095,1006,0.0,0.0,0.07889344262295081,cell,1
100095,1008,0.0,0.0,0.062168096405228745,cell,1
100104,1002,0.0,0.0,0.07914959016393443,cell,1
100104,1004,0.0,0.0,0.08286372950819672,cell,1
100104,1006,976.0,2.09,0.21413934426229506,observed,1
100104,1008,0.0,0.0,0.07097630718954247,cell,1
100132,1002,0.0,0.0,0.11949282786885246,cell,0
100132,1004,0.0,1.98,0.09682377049180327,cell,0
100132,1006,0.0,0.0,0.09695184426229508,cell,0
