hhnum,group_all,group_multi
100012,3,
100015,1,
100024,1,
100028,3,
100040,2,
100049,3,
100054,,
100055,1,
100059,1,
100061,2,
100067,1,
100069,,
100076,3,
100083,2,
100088,4,2
100093,1,
100095,3,
100104,11,
100132,,
100135,1,
100138,1,
100148,10,
100150,1,
100151,2,
100155,1,
100158,1,
100159,1,
100163,1,
100174,2,7
100192,2,1
100194,,
100203,5,
100207,,
100210,1,
100214,,
100228,4,
100229,1,
100238,,
100240,1,
100244,3,
100255,10,
100268,4,1
100273,2,
100274,4,
100276,1,
100292,1,
100304,1,
100317,3,
100322,,
100323,2,
100325,2,
100337,,
100360,3,
100363,1,1
100373,1,
100381,1,
100384,1,
100391,1,
100406,1,
100419,1,
100426,3,
100436,,
100438,11,5
100442,11,
100444,2,1
100446,3,
100457,1,
100459,6,4
100460,1,
100464,1,
100485,1,
100487,1,
100502,1,
100504,1,
100509,4,
100513,1,
100520,3,
100529,1,
100533,3,1
100539,1,
100545,1,
100554,1,
100558,1,
100562,12,
100568,1,
100580,,
100584,3,
100594,1,1
100622,3,
100623,1,
100633,2,
100641,4,
100649,1,
100664,5,
100666,3,
100681,,
100686,1,
100689,2,2
100690,1,
100692,1,
100693,4,
100697,2,
100700,1,
100714,1,
100720,1,
100726,1,
100742,10,
100753,9,
100768,1,
100781,6,5
100783,3,
100792,5,2
100796,2,
100799,1,
100805,4,
100810,10,
100816,1,
100841,1,
100843,2,
100845,1,
100857,1,
100875,14,
100885,1,
100888,3,1
100900,1,
100901,3,
100905,5,
100917,,
100929,3,
100934,1,
100953,3,
100958,3,
100974,1,
100984,1,
100985,,
100992,1,
101011,1,
101018,5,2
101020,1,
101024,1,
101046,5,
101056,2,
101061,,
101062,2,
101063,1,
101094,1,
101112,1,
101125,4,
101130,1,
101134,5,
101141,,
101148,,
101151,1,
101154,3,
101175,1,
101180,4,3
101195,,
101196,5,
101203,1,
101210,2,8
101218,2,
101228,1,
101236,1,
101244,2,
101253,2,
101267,3,
101268,1,
101291,12,6
101292,,
101323,4,3
101326,3,1
101339,3,
101343,1,
101347,1,
101359,1,
101372,1,
101374,,
101386,5,
101389,1,1
101396,10,
101399,6,
101400,,
101426,3,
101451,1,
101456,14,8
101460,3,
101469,2,
101481,9,
101494,1,
101499,1,
101501,1,
101502,2,
101503,4,
101521,5,
101525,1,
101531,,
101537,2,
101541,9,
101560,3,2
101570,3,
101574,3,
101580,4,
101581,1,
101590,1,
101591,1,
101599,1,
101602,1,
101603,3,
101609,6,
101618,1,
101626,3,
101637,4,
101640,1,
101663,,
101668,,
101670,1,
101678,7,
101680,1,
101713,3,
101719,3,1
101729,1,
101738,1,
101744,1,
101752,1,2
101756,14,
101758,1,
101759,4,
101761,2,
101763,2,
101776,3,
101777,4,
101785,2,
101790,,
101797,2,
101803,,
101812,1,
101815,1,
101828,,
101829,1,
101831,1,
101833,5,
101844,,
101845,3,
101856,,
101857,6,1
101862,2,
101870,2,
101874,1,2
101880,4,
101881,1,
101888,2,
101889,1,
101896,1,
101906,9,
101923,,
101932,1,
101935,1,
101941,1,
101945,2,
101953,1,
101955,9,6
101972,3,
101973,1,
101983,1,
102027,,
102045,4,
102047,4,3
102056,,
102062,3,
102064,3,
102080,5,2
102086,5,
102089,1,
102092,5,7
102098,1,
102106,1,
102115,1,
102121,15,
102123,11,5
102132,1,
102136,1,
102142,6,1
102144,11,
102149,1,
102158,1,
102161,10,
102163,,
102173,1,
102186,1,
102193,3,
102205,1,
102216,1,
102240,6,
102248,4,
102249,1,
102263,1,
102269,3,2
102277,1,
102283,2,
102293,4,
102295,4,
102299,1,
102304,1,
102313,1,
102316,1,
102318,1,
102329,1,
102336,3,
102341,6,
102345,6,
102360,6,
102383,2,
102390,1,
102398,,
102411,1,
102412,1,
102418,1,
102419,1,
102423,1,
102431,4,
102434,1,
102442,,
102457,3,
102462,1,
102465,8,
102478,1,
102482,2,
102488,,
102500,5,
102503,,
102508,1,
102511,1,
102512,1,5
102530,,
102531,1,2
102536,3,
102539,2,
102580,4,
102583,1,
102584,2,
102585,2,
102589,3,1
102600,5,
102606,1,
102607,3,
102615,1,
102650,2,
102665,,
102681,1,
102693,3,
102703,1,
102726,5,
102734,12,
102741,1,1
102747,4,
102753,1,
102758,4,
102759,8,
102769,2,2
102770,1,
102778,,
102791,4,
102794,,
102796,3,
102805,1,
102815,1,
102826,2,
102841,2,
102846,4,3
102862,3,
102865,4,
102868,6,
102873,5,2
102905,2,
102918,4,
102919,1,
102928,1,
102931,2,
102953,,
102976,3,
102986,3,
103007,1,
103008,1,
103013,1,
103036,8,
103037,,
103057,1,
103061,11,7
103068,,
103073,1,
103080,1,
103086,3,
103087,2,2
103089,1,
103094,1,
103097,4,
103106,4,
103115,4,
103118,1,
103126,2,
103128,1,
103143,9,
103147,,
103152,1,
103153,4,
103157,1,
103164,1,
103165,1,
103173,4,
103186,,
103200,1,
103202,2,
103203,,
103211,1,
103216,3,
103218,3,
103234,7,
103243,1,
103244,5,
103245,4,
103253,5,
103273,1,
103274,1,
103295,1,
103303,1,
103312,1,
103317,,
103318,1,
103331,1,
103333,1,
103334,3,
103338,1,
103345,3,
103347,,
103382,3,
103401,1,
103409,1,
103410,1,
103412,,
103413,,
103425,1,
103439,1,
103440,1,
103442,,
103447,1,
103458,1,
103474,1,
103478,1,
103488,,
103524,,
103531,1,
103534,12,8
103539,1,
103545,2,
103559,1,
103564,1,4
103566,3,1
103568,5,4
103577,1,
103582,1,
103595,1,
103596,1,
103598,1,
103600,1,
103609,1,
103613,2,
103635,2,
103645,4,
103650,3,
103657,1,
103659,1,
103669,3,
103679,1,
103690,,
103698,1,
103713,1,
103715,4,
103718,2,
103725,1,
103747,,
103773,1,
103781,4,
103803,1,
103819,4,
103837,,
103848,,
103853,1,4
103870,2,
103890,1,4
103900,7,
103905,1,1
103917,1,
103923,,
103926,1,
103935,1,
103941,1,
103963,3,
103968,2,
103976,10,
103982,3,
103988,3,
104006,4,
104007,4,
104023,1,
104027,2,1
104030,1,
104036,10,3
104040,,
104052,,
104062,4,
104071,10,
104109,,
104115,9,
104137,3,1
104142,1,
104146,3,
104154,,
104162,3,
104180,3,
104185,2,4
104199,4,
104204,1,
104205,1,
104213,2,1
104220,1,
104222,1,
104223,4,
104224,1,
104230,1,
104234,1,
104248,3,
104255,,
104263,3,
104280,2,
104282,2,
104283,4,1
104302,4,
104306,,
104311,1,
104319,1,
104326,1,
104328,1,
104340,,
104348,4,
104349,6,1
104350,1,
104375,1,
104376,10,
104380,3,5
104385,4,
104389,,
104392,11,
104398,1,
104405,5,
104406,1,
104408,1,
104416,1,
104418,1,
104439,1,
104449,1,
104460,1,
104462,1,
104464,,
104475,6,
104482,1,
104483,8,
104492,1,
104496,3,4
104499,1,1
104513,5,
104514,1,
104525,,
104542,1,
104551,,
104553,,
104555,,
104564,1,1
104572,1,
104614,6,1
104663,3,
104667,2,
104668,,
104669,,
104671,9,
104676,1,
104677,1,
104697,7,4
104699,5,
104701,1,
104719,3,
104730,6,
104731,3,
104734,1,
104751,2,
104757,2,
104763,3,
104768,5,
104770,4,
104789,,
104792,1,2
104818,1,
104825,1,
104827,1,
104828,,
104838,4,
104840,3,3
104850,6,
104857,1,2
104863,1,
104864,1,
104869,1,
104879,2,
104917,1,
104924,1,
104938,1,7
104941,1,
104949,1,
104953,3,1
104960,1,
104972,1,
105000,1,
105006,2,
105016,2,
105023,2,
105034,1,
105058,5,7
105080,11,
105084,1,
105089,1,
105100,4,
105101,7,
105113,1,
105142,4,
105163,1,
105167,1,
105168,,
105176,3,
105181,3,
105201,3,
105206,3,1
105220,3,
105222,9,
105241,1,
105255,1,
105256,,
105272,1,
105284,1,
105285,1,
105288,4,
105292,3,
105308,1,
105309,6,1
105311,1,
105331,1,
105335,1,
105361,1,
105364,3,
105377,4,
105378,4,
105385,3,
105392,1,
105405,1,
105407,1,
105410,6,
105423,1,
105424,2,
105426,1,
105427,7,6
105460,11,
105461,12,4
105468,,
105477,2,
105479,7,2
105491,,
105500,1,
105522,2,
105554,1,
105564,1,
105576,5,
105600,1,
105610,5,
105628,3,
105644,2,
105649,1,
105652,1,2
105657,2,
105680,2,
105686,2,
105689,2,
105716,1,
105731,1,
105732,,
105733,1,
105747,1,
105753,2,
105756,1,
105761,2,
105763,,
105764,4,
105765,1,1
105792,,
105796,1,
105799,1,
105812,1,
105832,,
105840,1,
105846,1,
105856,10,
105864,8,
105896,3,
105908,10,7
105933,4,
105940,1,
105946,1,
105947,1,
105950,,
105954,4,
105956,1,
105957,1,
105962,6,5
105985,1,2
105994,4,
105995,10,
106001,1,
106010,,
106032,1,
106033,9,
106035,1,
106043,3,
106046,2,
106071,2,
106098,1,
106102,1,
106110,3,
106138,,
106140,3,
106145,1,
106166,5,
106171,,
106182,4,
106186,1,
106202,4,
106228,3,3
106255,4,
106256,1,
106265,,
106267,3,
106274,1,
106276,,
106278,1,
106280,1,
106293,1,
106294,5,
106327,4,
106356,1,
106357,11,
106365,1,
106367,5,
106382,2,
106384,1,
106388,1,
106390,4,
106396,2,
106419,1,
106422,1,
106425,1,
106432,1,
106442,1,
106443,1,
106462,2,
106464,1,
106467,,
106471,2,
106475,2,
106477,1,
106486,,
106493,3,
106507,2,
106508,13,
106518,1,
106534,3,
106550,1,
106562,1,
106589,2,
106614,1,
106615,4,
106623,1,
106624,4,
106625,1,
106629,1,2
106630,5,
106663,5,
106672,1,1
106683,,
106693,4,
106705,10,
106715,,
106717,1,
106721,1,
106727,1,
106733,3,
106741,1,
106743,,
106747,2,
106750,1,
106766,2,
106772,2,
106776,1,
106781,1,
106782,5,
106784,1,
106796,,
106802,2,
106804,1,
106805,,
106806,1,
106813,5,
106816,1,
106838,6,1
106853,3,2
106854,1,
106862,,
106888,1,
106896,1,1
106912,4,
106916,1,
106917,3,2
106920,1,
106934,7,
106973,1,
106975,3,
106981,2,
106983,1,
107002,2,
107010,,
107011,,
107017,3,
107019,3,
107021,,
107022,1,
