hhnum,k15,k14,k13,k12,k11,k10,k9,k8,k7,k6,k5,k4,k3,k2,k1
100012,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100028,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100040,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
100049,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100054,,,,,,,,,,,,,,,
100055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100061,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
100067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100069,,,,,,,,,,,,,,,
100076,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100083,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
100088,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
100093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100095,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100104,11,11,11,11,11,7,7,7,7,6,5,4,2,2,1
100132,,,,,,,,,,,,,,,
100135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100148,10,10,10,10,10,10,10,7,7,6,5,4,2,2,1
100150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100151,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
100155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100174,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
100192,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
100194,,,,,,,,,,,,,,,
100203,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1
100207,,,,,,,,,,,,,,,
100210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100214,,,,,,,,,,,,,,,
100228,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
100229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100238,,,,,,,,,,,,,,,
100240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100244,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100255,10,10,10,10,10,10,10,7,7,6,5,4,2,2,1
100268,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
100273,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
100274,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1
100276,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100292,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100317,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100322,,,,,,,,,,,,,,,
100323,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
100325,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
100337,,,,,,,,,,,,,,,
100360,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100373,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100384,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100391,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100406,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100426,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100436,,,,,,,,,,,,,,,
100438,11,11,11,11,11,7,7,7,7,6,5,4,2,2,1
100442,11,11,11,11,11,7,7,7,7,6,5,4,2,2,1
100444,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
100446,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
100457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100459,6,6,6,6,6,6,6,6,6,6,5,4,2,2,1
100460,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
