hhnum,k9,k8,k7,k6,k5,k4,k3,k2,k1
100012,,,,,,,,,
100015,,,,,,,,,
100024,,,,,,,,,
100028,,,,,,,,,
100040,,,,,,,,,
100049,,,,,,,,,
100054,,,,,,,,,
100055,,,,,,,,,
100059,,,,,,,,,
100061,,,,,,,,,
100067,,,,,,,,,
100069,,,,,,,,,
100076,,,,,,,,,
100083,,,,,,,,,
100088,2,2,2,2,2,2,2,2,1
100093,,,,,,,,,
100095,,,,,,,,,
100104,,,,,,,,,
100132,,,,,,,,,
100135,,,,,,,,,
100138,,,,,,,,,
100148,,,,,,,,,
100150,,,,,,,,,
100151,,,,,,,,,
100155,,,,,,,,,
100158,,,,,,,,,
100159,,,,,,,,,
100163,,,,,,,,,
100174,7,7,6,6,3,3,3,2,1
100192,1,1,1,1,1,1,1,1,1
100194,,,,,,,,,
100203,,,,,,,,,
100207,,,,,,,,,
100210,,,,,,,,,
100214,,,,,,,,,
100228,,,,,,,,,
100229,,,,,,,,,
100238,,,,,,,,,
100240,,,,,,,,,
100244,,,,,,,,,
100255,,,,,,,,,
100268,1,1,1,1,1,1,1,1,1
100273,,,,,,,,,
100274,,,,,,,,,
100276,,,,,,,,,
100292,,,,,,,,,
100304,,,,,,,,,
100317,,,,,,,,,
100322,,,,,,,,,
100323,,,,,,,,,
100325,,,,,,,,,
100337,,,,,,,,,
100360,,,,,,,,,
100363,1,1,1,1,1,1,1,1,1
100373,,,,,,,,,
100381,,,,,,,,,
100384,,,,,,,,,
100391,,,,,,,,,
100406,,,,,,,,,
100419,,,,,,,,,
100426,,,,,,,,,
100436,,,,,,,,,
100438,5,5,5,5,5,4,1,1,1
100442,,,,,,,,,
100444,1,1,1,1,1,1,1,1,1
100446,,,,,,,,,
100457,,,,,,,,,
100459,4,4,4,4,4,4,1,1,1
100460,,,,,,,,,
100464,,,,,,,,,
100485,,,,,,,,,
100487,,,,,,,,,
100502,,,,,,,,,
100504,,,,,,,,,
100509,,,,,,,,,
100513,,,,,,,,,
100520,,,,,,,,,
100529,,,,,,,,,
100533,1,1,1,1,1,1,1,1,1
100539,,,,,,,,,
100545,,,,,,,,,
100554,,,,,,,,,
100558,,,,,,,,,
100562,,,,,,,,,
100568,,,,,,,,,
100580,,,,,,,,,
100584,,,,,,,,,
100594,1,1,1,1,1,1,1,1,1
100622,,,,,,,,,
100623,,,,,,,,,
100633,,,,,,,,,
100641,,,,,,,,,
100649,,,,,,,,,
100664,,,,,,,,,
100666,,,,,,,,,
100681,,,,,,,,,
100686,,,,,,,,,
100689,2,2,2,2,2,2,2,2,1
100690,,,,,,,,,
100692,,,,,,,,,
100693,,,,,,,,,
100697,,,,,,,,,
100700,,,,,,,,,
100714,,,,,,,,,
100720,,,,,,,,,
100726,,,,,,,,,
100742,,,,,,,,,
100753,,,,,,,,,
100768,,,,,,,,,
100781,5,5,5,5,5,4,1,1,1
100783,,,,,,,,,
100792,2,2,2,2,2,2,2,2,1
100796,,,,,,,,,
100799,,,,,,,,,
100805,,,,,,,,,
100810,,,,,,,,,
100816,,,,,,,,,
100841,,,,,,,,,
100843,,,,,,,,,
100845,,,,,,,,,
100857,,,,,,,,,
100875,,,,,,,,,
100885,,,,,,,,,
100888,1,1,1,1,1,1,1,1,1
100900,,,,,,,,,
100901,,,,,,,,,
100905,,,,,,,,,
100917,,,,,,,,,
100929,,,,,,,,,
100934,,,,,,,,,
100953,,,,,,,,,
100958,,,,,,,,,
100974,,,,,,,,,
100984,,,,,,,,,
100985,,,,,,,,,
100992,,,,,,,,,
