hhnum,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15
100012,1,1,1,2,4,4,2,2,2,2,2,1,1,1,2
100015,1,2,1,2,1,2,1,1,1,1,1,2,4,2,1
100024,1,2,1,1,1,1,2,2,2,2,2,3,1,1,1
100028,1,1,1,1,2,3,2,2,2,2,2,1,1,1,2
100040,1,1,1,2,2,1,1,1,1,1,1,2,8,3,3
100049,1,2,2,1,1,1,6,6,6,6,6,1,1,1,2
100054,,,,,,,,,,,,,,,
100055,1,2,1,1,1,1,1,1,1,1,1,3,1,2,1
100059,1,1,1,2,3,4,1,1,1,1,1,2,1,1,1
100061,1,1,1,1,1,1,4,4,4,4,4,2,2,3,3
100067,1,1,2,2,1,4,1,1,1,1,1,2,1,1,1
100069,,,,,,,,,,,,,,,
100076,1,1,2,2,2,3,2,2,2,2,2,4,5,5,2
100083,1,2,2,2,2,1,1,1,1,1,1,9,2,3,3
100088,1,2,1,1,3,3,1,1,1,1,1,3,1,2,4
100093,1,2,2,2,2,1,7,7,7,7,7,3,1,1,1
100095,1,2,1,1,4,3,4,4,4,4,4,3,1,1,2
100104,1,1,1,2,1,4,5,5,5,5,5,8,7,5,11
100132,,,,,,,,,,,,,,,
100135,1,2,2,2,1,3,1,1,1,1,1,2,1,1,1
100138,1,2,1,1,4,6,1,1,1,1,1,3,1,1,1
100148,1,2,1,4,1,2,1,1,1,1,1,5,4,6,10
100150,1,2,1,1,2,3,2,2,2,2,2,7,3,1,1
100151,1,2,2,2,1,3,1,1,1,1,1,3,2,3,3
100155,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1
100158,1,2,2,1,1,2,1,1,1,1,1,3,1,1,1
100159,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1
100163,1,1,1,2,1,1,3,3,3,3,3,1,1,1,1
100174,1,1,1,1,2,1,1,1,1,1,1,2,4,6,3
100192,1,2,1,2,2,3,1,1,1,1,1,3,1,1,3
100194,,,,,,,,,,,,,,,
100203,1,1,1,1,4,1,2,2,2,2,2,1,4,6,5
100207,,,,,,,,,,,,,,,
100210,1,1,1,2,1,1,2,2,2,2,2,9,1,2,1
100214,,,,,,,,,,,,,,,
100228,1,1,1,2,1,1,1,1,1,1,1,3,1,1,4
100229,1,1,1,2,4,1,6,6,6,6,6,1,2,1,1
100238,,,,,,,,,,,,,,,
100240,1,1,1,1,4,1,1,1,1,1,1,5,4,2,1
100244,1,2,2,2,3,3,7,7,7,7,7,1,1,1,2
100255,1,1,1,1,1,1,1,1,1,1,1,4,4,6,10
100268,1,1,1,1,1,2,6,6,6,6,6,3,1,1,4
100273,1,1,3,2,1,1,1,1,1,1,1,5,2,1,3
100274,1,1,2,4,1,3,3,3,3,3,3,1,1,2,4
100276,1,1,1,1,1,2,3,3,3,3,3,3,1,1,1
100292,1,1,1,1,2,6,1,1,1,1,1,2,1,1,1
100304,1,1,1,1,3,3,2,2,2,2,2,5,1,1,1
100317,1,1,1,1,2,3,2,2,2,2,2,4,6,4,2
100322,,,,,,,,,,,,,,,
100323,1,1,1,2,2,1,1,1,1,1,1,2,4,2,3
100325,1,1,1,2,1,2,1,1,1,1,1,9,2,3,3
100337,,,,,,,,,,,,,,,
100360,1,2,2,1,2,3,7,7,7,7,7,1,3,4,2
100363,1,1,1,1,1,1,5,5,5,5,5,3,1,1,1
100373,1,1,1,2,2,1,2,2,2,2,2,3,1,1,1
100381,1,1,1,1,2,2,3,3,3,3,3,6,1,1,1
100384,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1
100391,1,1,1,2,1,2,2,2,2,2,2,6,1,1,1
