hhnum,num_milk_types
100012,1
100015,1
100024,1
100028,1
100040,1
100049,1
100054,0
100055,1
100059,1
100061,1
100067,1
100069,0
100076,1
100083,1
100088,2
100093,1
100095,1
100104,1
100132,0
100135,1
100138,1
100148,1
100150,1
100151,1
100155,1
100158,1
100159,1
100163,1
100174,2
100192,2
100194,0
100203,1
100207,0
100210,1
100214,0
100228,1
100229,1
100238,0
100240,1
100244,1
100255,1
100268,2
100273,1
100274,1
100276,1
100292,1
100304,1
100317,1
100322,0
100323,1
100325,1
100337,0
100360,1
100363,2
100373,1
100381,1
100384,1
100391,1
100406,1
100419,1
100426,1
100436,0
100438,2
100442,1
100444,2
100446,1
100457,1
100459,2
100460,1
100464,1
100485,1
100487,1
100502,1
100504,1
100509,1
100513,1
100520,1
100529,1
100533,2
100539,1
100545,1
100554,1
100558,1
100562,1
100568,1
100580,0
100584,1
100594,2
100622,1
100623,1
100633,1
100641,1
100649,1
100664,1
100666,1
100681,0
100686,1
100689,2
100690,1
100692,1
100693,1
100697,1
100700,1
100714,1
100720,1
100726,1
100742,1
100753,1
100768,1
100781,2
100783,1
100792,2
100796,1
100799,1
100805,1
100810,1
100816,1
100841,1
100843,1
100845,1
100857,1
100875,1
100885,1
100888,2
100900,1
100901,1
100905,1
100917,0
100929,1
100934,1
100953,1
100958,1
100974,1
100984,1
100985,0
100992,1
101011,1
101018,3
101020,1
101024,1
101046,1
101056,1
101061,0
101062,1
101063,1
101094,1
101112,1
101125,1
101130,1
101134,1
101141,0
101148,0
101151,1
101154,1
101175,1
101180,2
101195,0
101196,1
101203,1
101210,2
101218,1
101228,1
101236,1
101244,1
101253,1
101267,1
101268,1
101291,2
101292,0
101323,2
101326,2
101339,1
101343,1
101347,1
101359,1
101372,1
101374,0
101386,1
101389,2
101396,1
101399,1
101400,0
101426,1
101451,1
101456,3
101460,1
101469,1
101481,1
101494,1
101499,1
101501,1
101502,1
101503,1
101521,1
101525,1
101531,0
101537,1
101541,1
101560,2
101570,1
101574,1
101580,1
101581,1
101590,1
101591,1
101599,1
101602,1
101603,1
101609,1
101618,1
101626,1
101637,1
101640,1
101663,0
101668,0
101670,1
101678,1
101680,1
101713,1
101719,2
101729,1
101738,1
101744,1
101752,2
101756,1
101758,1
101759,1
101761,1
101763,1
101776,1
101777,1
101785,1
101790,0
101797,1
101803,0
101812,1
101815,1
101828,0
101829,1
101831,1
101833,1
