sample,group,n_households,converged,alpha_Whole,alpha_Whole_se,alpha_2%,alpha_2%_se,alpha_1%,alpha_1%_se,alpha_Skim,alpha_Skim_se,beta_Whole,beta_Whole_se,beta_2%,beta_2%_se,beta_1%,beta_1%_se,beta_Skim,beta_Skim_se,lambda_Whole,lambda_Whole_se,lambda_2%,lambda_2%_se,lambda_1%,lambda_1%_se,lambda_Skim,lambda_Skim_se,gamma_Whole_Whole,gamma_Whole_Whole_se,gamma_Whole_2%,gamma_Whole_2%_se,gamma_Whole_1%,gamma_Whole_1%_se,gamma_Whole_Skim,gamma_Whole_Skim_se,gamma_2%_2%,gamma_2%_2%_se,gamma_2%_1%,gamma_2%_1%_se,gamma_2%_Skim,gamma_2%_Skim_se,gamma_1%_1%,gamma_1%_1%_se,gamma_1%_Skim,gamma_1%_Skim_se,gamma_Skim_Skim,gamma_Skim_Skim_se
all,1,1125,True,0.22282730642963977,0.012299729278030445,0.5573706564856911,0.015109674543620154,0.09170853805084542,0.008592538877788453,0.12809349903382372,0.009918736427871576,-0.05542432734674446,0.02174621645558092,0.06990276161479354,0.02660621030528325,0.02847900203428351,0.015107698228125155,-0.04295743630233259,0.017525049876630845,0.0744926634509949,0.01642863590542082,-0.08996716994678536,0.020097414797861615,0.005715620661335629,0.011400529843587427,0.009758885834454833,0.01321634076361968,-0.5492931352320215,0.0347803027087985,0.2745039164153647,0.03364039696753821,0.12103765968927716,0.02168493726311203,0.15375155912737964,0.02498419782128971,-0.6422170163954395,0.0522310501127576,0.1476798524598407,0.027828020301400566,0.2200332475202341,0.032354427139770776,-0.33778648678882556,0.028901583181666024,0.06906897463970768,0.023638708893015725,-0.4428537812873214,0.03621670986235747
all,2,259,True,0.028844246910164545,0.01121981199542009,0.9406908714398384,0.014872687565862243,0.02743761361185133,0.009609089991557846,0.0030272680381456807,0.002348309186298859,0.03685643037630351,0.010434747023763428,-0.04836360334972026,0.013958620210397277,0.007629005412507334,0.008938622630953429,0.003878167560909412,0.002228878103367778,-0.020027209232410897,0.01052316928574641,0.028615081942814414,0.014087449171158416,-0.006821243754366587,0.009048597417520827,-0.0017666289560369303,0.0022114774010742744,-0.11447308230609535,0.026537277343679864,0.12604520648191184,0.023138889461039314,-0.00551454200899092,0.019450573590054292,-0.00605758216682557,0.006473683138604036,-0.11338855052264875,0.03246418081818694,-0.021986399489393915,0.020136603598035135,0.009329743530130826,0.005191098670597932,0.02394896410002449,0.022827873595323105,0.003551977398360346,0.006932560094943563,-0.0068241387616656025,0.007282462878677354
all,3,302,True,0.7595132411125314,0.02583599881379443,0.06771124514989538,0.018282625535242618,0.08910430452777268,0.018851579756991043,0.08367120920980065,0.01874895213352121,0.24097071043574242,0.04854217010192161,0.20915366411510683,0.033864427768945694,-0.3456357821239889,0.03561495008875504,-0.10448859242686037,0.0352654949203787,-0.4805297273012178,0.047467831162503936,0.0645941820252563,0.032259520816424574,0.2586909939494442,0.034420821281514864,0.15724455132651727,0.03431280298541943,-0.38765746306652854,0.07223821192026228,0.2322004672671949,0.048484442737335966,0.08974155626717992,0.04528929587915899,0.06571543953215372,0.04743512796551166,-0.3586191236555603,0.0783194837498398,-0.024423474355432132,0.049491892856607295,0.15084213074379754,0.05129615758790641,0.07395327677130718,0.05572386202666967,-0.13927135868305496,0.04401923236252338,-0.07728621159289631,0.06218178983950991
all,4,180,True,0.24048209184842934,0.035048136311107154,0.05354339393162006,0.0200180390397802,0.26794681746227694,0.03351601906563861,0.4380276967576737,0.033148240110964386,0.08677412801145896,0.03685523337737563,0.17651538310238168,0.022212169233576974,-0.005439821038667004,0.035603016894922214,-0.2578496900751736,0.035013111725817704,0.2809011155416273,0.03418929585714257,0.027823620744376894,0.01879583204786367,-0.0904957222341845,0.032483887380633215,-0.21822901405181966,0.03184599280336578,0.1595418463030643,0.0636209052256487,0.27637836258510623,0.03564134629335441,-0.10650577622722025,0.05806847577851143,-0.3294144326609503,0.05391849019245244,-0.3254611682359786,0.07991912341734593,0.02263833838192517,0.07338721646024972,0.026444467268947194,0.056888560443535366,0.38068169560100285,0.1291490786071623,-0.29681425775570774,0.09506305424152597,0.5997842231477108,0.09868030991316619
all,5,78,True,0.35137951104690635,0.029635589238241028,0.08825109604615508,0.02435428197744848,0.07464915651394155,0.02499728935898041,0.485720236392997,0.04735727554048092,-0.3429552076007533,0.045134325371667124,0.07369879270751539,0.03887260896484346,0.28947780841415566,0.041856739673564076,-0.02022139352091773,0.06862450122231498,-0.01779085226327709,0.0024446654996370274,0.003392141081396958,0.0019164341430500703,0.006082781657433447,0.0020283743538616608,0.008315929524446685,0.003964552239359833,0.23078032509270494,0.05346071702297369,-0.028884227479785463,0.04510944560525005,0.15998701827524667,0.046831456570665855,-0.36188311588816613,0.07521252012510118,0.15064016345483947,0.10788767947731687,-0.010127852009471357,0.07117967663600636,-0.11162808396558264,0.09428725559640483,-0.14485283904506008,0.08487013084516845,-0.005006327220715229,0.07725775890724652,0.47851752707446404,0.14687229512991767
all,6,47,True,0.21655067498033354,0.02135845527915587,0.698524962649475,0.031180159362938574,0.02066551083496364,0.017266778016826776,0.06425885153522792,0.03032266638811276,0.37805988727561946,0.04825267424300781,-0.17829163081442018,0.06833713117405435,0.022712320701289014,0.03783013994938161,-0.22248057716248829,0.06573871072204095,0.13911426964868823,0.031003849406910148,-0.22321325911445936,0.045557842041846576,0.03629042954202245,0.024785734513386684,0.04780855992374868,0.044382833832111605,0.14548587279894856,0.04092114160036919,-0.0830921058962268,0.03119740226827365,-0.022929636072183388,0.029658703806883912,-0.039464130830538374,0.03353861300662727,0.28016435971663467,0.04752646976939229,0.007050557472934163,0.03005997690114908,-0.20412281129334203,0.041209753137732175,0.08105534639965223,0.04998491375442864,-0.065176267800403,0.03612654767100683,0.3087632099242834,0.05198736807135814
all,7,29,True,0.7302705663968533,0.057279770462318226,0.017270397039917073,0.01730828200400035,0.2061169939178718,0.049663632776654316,0.046342042645357795,0.03232060614696242,0.02385378747497013,0.0642735724708946,0.0026497449092823928,0.019356788565814402,-0.07363351750413552,0.055849018833785465,0.047129985119883,0.03611754847800838,-0.11426508747255608,0.08565679337322399,-0.029777019732982458,0.027248558445273966,0.13164076254681922,0.07362790690562859,0.01240134465871931,0.050594073918529,0.6169957932876544,0.0930929338365494,-0.09974765460752649,0.035612918273485415,-0.5234772595829087,0.07529523141132637,0.006229120902780716,0.06649765861568582,0.48512795968798866,0.0666093974214204,-0.1472751049324503,0.04290384389276116,-0.23810520014801187,0.06865859819322123,0.7174437691508927,0.0859476905302184,-0.04669140463553367,0.07460381697667183,0.2785674838807648,0.12242853144893914
all,9,39,True,0.8404232824189641,0.04730567148375941,0.10782251360326055,0.03869176874922025,0.021887438002453182,0.02085141850952103,0.029866765975322118,0.02345689519608833,0.0429329508648426,0.07516966408896189,-0.05239977644698101,0.059864851724637014,-0.005222612993197409,0.03225362460673051,0.01468943857533582,0.03700562975744348,0.1350488563007369,0.0957594406267184,-0.1254252737169435,0.07833129073151927,0.0033409404675724475,0.042386028799686684,-0.01296452305136584,0.04714098003420104,-0.1374430629914163,0.09424662645888501,0.09776437529852973,0.07425494507664981,0.00721492747904468,0.039391237074579505,0.032463760213841876,0.044598221190243786,-0.05877479804153738,0.11656079036935156,-0.016593295309222343,0.05976154109074785,-0.022396281947770005,0.06730233874452875,0.0729121147755351,0.05026357796838629,-0.06353374694535743,0.039887448079436755,0.05346626867928556,0.06097490229784509
all,11,28,True,0.013827951282673117,0.017457285668164152,0.09646818778532379,0.030905606515263043,0.6894066655606047,0.05197412934091023,0.20029719537139834,0.05172943896686055,-0.010967742539924724,0.031282051409618455,-0.011650283649181947,0.05698715107874845,0.061114134500784525,0.0989006823560256,-0.03849610831167785,0.09709064812777364,-0.026837771951353877,0.017897165659323793,-0.009365384727569356,0.03234610782374304,-0.04994627458916501,0.0557354376252452,0.08614943126808824,0.053320896419542345,0.007790950025991185,0.07287176115821024,-0.10742988401806079,0.07422381115340927,0.09107824085894524,0.04409330314803971,0.008560693133124367,0.0507857317104739,-0.17977058476917396,0.11803129791350533,-0.0017846284282755343,0.07652206820667772,0.2889850972155103,0.08987748202319884,0.5170041425579207,0.12075366950122689,-0.6062977549885904,0.10527672171761635,0.30875196463995574,0.1321758679470799
multi,1,113,True,0.349582690941718,0.02166950353196869,0.4665449145524384,0.026723872201301558,0.06438713868831061,0.01816696469331841,0.119485255817533,0.024887915975941744,0.09219165650937997,0.03900659516721965,0.0317192788263814,0.048320194267161255,-0.060431397066531,0.032300548820474,-0.06347953826923036,0.04493411557989855,0.004186048131599774,0.02880798260796213,-0.06920937592382963,0.03578979480269876,0.026822649520737013,0.023819298251128593,0.038200678271492844,0.03322185944000239,-0.17961341647369977,0.03889931616664235,0.10522738549457536,0.036318636140458695,0.037635604618609916,0.030530648436113438,0.036750426360514496,0.035784917821432415,-0.22288814685010566,0.06423430852405233,0.06761879698576753,0.03772564167555814,0.05004196436976277,0.052809858733844244,-0.1244207137495617,0.04898604632071585,0.01916631214518426,0.042071653803368386,-0.10595870287546152,0.06445454575432222
multi,2,47,True,0.21073875039381565,0.04412406818140593,0.4713216363907033,0.055337481235363514,0.1598313465006857,0.0528152353421342,0.15810826671479528,0.04184985344242014,-0.1639217469327975,0.06758319267376074,-0.026160802627308122,0.08626734060346887,0.25540811769129534,0.08907077982343392,-0.0653255681311897,0.06471264768495386,0.07881505120803817,0.09892637743789316,-0.14720999019572206,0.12230440751451997,0.14196585231700343,0.11785529210420394,-0.07357091332931953,0.09270236145646485,-0.035340606277185084,0.07307722535838039,-0.13874193034994647,0.07077888765851546,0.13580382115147416,0.07918754650063334,0.03827871547565739,0.0546581098490357,0.11465471377508776,0.1337562350073857,0.12506571711048853,0.11319277919955276,-0.10097850053562982,0.07591394121934572,-0.22949898965180549,0.15126666311017473,-0.0313705486101572,0.0785190806489207,0.09407033367012962,0.07563407148310747
multi,3,23,True,0.4987984336909498,0.039532134319882846,0.39189501174679187,0.06000036490361899,0.05834243447105694,0.04570850078099776,0.05096412009120144,0.04247500340895375,-0.05413071230627483,0.08229335230934762,0.16927814475848285,0.1137084871294704,-0.0902147616062534,0.09373961186456714,-0.024932670845954616,0.09683624549503296,-0.2876252140230501,0.08671724761946137,0.14048580801337587,0.1280659745820583,0.1481274653086622,0.09831035532072246,-0.0009880592989879866,0.09026924822802017,0.1605899328201396,0.062322649835040836,-0.029801232003252937,0.055650493676447685,-0.12613706913274308,0.05952241745394387,-0.004651631684143592,0.07080333067934874,0.028070226434904262,0.1020006295317359,0.012381026096178555,0.0690053569964582,-0.01065002052782988,0.06966331056511593,0.26783413035959003,0.0947784840901189,-0.1540780873230255,0.09564741832733432,0.16937973953499896,0.14068636069592735
multi,4,26,True,0.04004826869077399,0.022047142104415676,0.30965486761196165,0.06261970114817829,0.2782152810443645,0.05128030522431703,0.3720815826528998,0.06750346960331803,0.05467740557795039,0.04368585669946259,0.004770927699629616,0.12142515914082667,-0.1651393357831536,0.09945891900438734,0.10569100250557359,0.13074151358255046,0.03703787927667725,0.041707092356560733,0.10280142894844554,0.11351893336595126,-0.09782556565714794,0.09361533683504145,-0.04201374256797487,0.12400602599895022,0.02538333574582507,0.04400125725700106,0.010167713994243217,0.029239561201501552,-0.004328902128383002,0.0387728330580267,-0.031222147611685284,0.053091549587882245,0.17841433315027286,0.08405082681005077,-0.0641525539757548,0.06397608374079022,-0.12442949316876127,0.08233717066883195,0.11672162776147472,0.09837017277877226,-0.04824017165733692,0.0886052981075193,0.20389181243778348,0.12899173685693038
