k,total_loss,merged_groups,merge_cost,ccei_merged
15,0.0,,,
14,1.0454545454545456,12+15,1.0454545454545456,0.9049586776859504
13,3.6122336348306003,10+13,2.5667790893760545,0.9172006745362563
12,15.229704785970481,11+12,11.617471151139881,0.6753095975232198
11,27.930318910842537,9+14,12.700614124872057,0.723899692937564
10,61.40963828708444,7+11,33.479319376241904,0.3214375724582892
9,92.56434242767709,7+9,31.154704140592646,0.21054769001490314
8,121.40873015873017,7+10,28.844387731053075,0.16269841269841268
7,159.8976640711902,7+8,38.48893391246004,0.09149054505005562
6,202.5976084538376,6+7,42.6999443826474,0.09149054505005562
5,273.46134593993327,5+6,70.86373748609566,0.09149054505005562
4,436.9930478309233,4+5,163.53170189099,0.09149054505005562
3,672.2969966629588,2+4,235.30394883203553,0.09149054505005562
2,946.6668520578421,2+3,274.3698553948833,0.09149054505005562
1,1968.7399888765294,1+2,1022.0731368186873,0.09149054505005562
