k,group,size,efficiency,loss,method
1,1,2167,0.09149054505005562,1968.7399888765294,esearch
2,1,2164,0.10667601380500429,1933.153106125971,esearch
2,2,3,0.101953125,2.694140625,esearch
3,1,2153,0.1637165843889717,1800.518193810544,esearch
3,2,11,0.18949292101341284,8.91557786885246,esearch
3,3,3,0.25703125,2.2289062499999996,esearch
4,1,2157,0.23008712967255252,1660.7020612963042,esearch
4,2,6,0.22632575757575762,4.642045454545455,esearch
4,3,3,0.22516220990349267,2.324513370289522,esearch
4,4,1,1.0,0.0,esearch
5,1,2130,0.34802431610942247,1388.70820668693,esearch
5,2,15,0.46657381615598875,8.00139275766017,esearch
5,3,9,0.4200665340558338,5.219401193497496,esearch
5,4,7,0.4327030033370412,3.9710789766407117,esearch
5,5,6,1.0,0.0,esearch
6,1,2073,0.41590210506706404,1210.8349361959763,esearch
6,2,44,0.41913274919917093,25.55815903523648,esearch
6,3,22,0.41646778042959426,12.837708830548927,esearch
6,4,14,0.43926083591331266,7.850348297213623,esearch
6,5,10,0.48193844788287893,5.180615521171211,esearch
6,6,4,1.0,0.0,esearch
7,1,1985,0.5229885057471263,946.8678160919543,esearch
7,2,92,0.5235507246376812,43.833333333333336,esearch
7,3,36,0.866754543671548,4.796836427824271,esearch
7,4,26,0.5314285714285715,12.182857142857141,esearch
7,5,14,1.0,0.0,esearch
7,6,10,1.0,0.0,esearch
7,7,4,1.0,0.0,esearch
8,1,1685,0.7599118942731277,404.5484581497799,esearch
8,2,256,0.7607758620689656,61.2413793103448,esearch
8,3,106,0.7732829282080271,24.032009609949124,esearch
8,4,45,0.7595338983050849,10.82097457627118,esearch
8,5,39,0.7714604236343365,8.913043478260875,esearch
8,6,20,0.9456080114449213,1.087839771101573,esearch
8,7,13,0.8349913494809686,2.1451124567474076,esearch
8,8,3,1.0,0.0,esearch
9,1,1413,0.8671679197994989,187.69172932330804,esearch
9,2,330,0.8674242424242423,43.750000000000036,esearch
9,3,211,0.8680738786279684,27.836411609498676,esearch
9,4,77,0.8704819277108432,9.972891566265073,esearch
9,5,66,0.901077375122429,6.528893241919684,esearch
9,6,43,0.8773690078037902,5.27313266443702,esearch
9,7,16,0.887029288702929,1.8075313807531366,esearch
9,8,8,1.0,0.0,esearch
9,9,3,1.0,0.0,esearch
10,1,1539,0.8834498834498833,179.37062937062962,esearch
10,2,192,0.8858218318695106,21.92220828105397,esearch
10,3,141,0.8856259659969088,16.12673879443586,esearch
10,4,89,0.8925467914438502,9.563335561497334,esearch
10,5,67,0.8834498834498835,7.8088578088578045,esearch
10,6,64,0.9012036108324974,6.322968906720163,esearch
10,7,55,0.9335495367070564,3.6547754811118964,esearch
10,8,14,0.8861896417903427,1.5933450149352029,esearch
10,9,4,1.0,0.0,esearch
10,10,2,1.0,0.0,esearch
11,1,1436,0.9281308140555341,103.20415101625302,esearch
11,2,248,0.928501945525292,17.731517509727592,esearch
11,3,145,0.9325068870523416,9.786501377410463,esearch
11,4,109,0.9335495367070564,7.24310049893085,esearch
11,5,104,0.9312386156648452,7.1511839708560965,esearch
11,6,58,0.9456080114449213,3.1547353361945616,esearch
11,7,33,0.9320712694877504,2.2416481069042358,esearch
11,8,19,0.9331550802139037,1.2700534759358297,esearch
11,9,7,1.0,0.0,esearch
11,10,5,0.9804673721340388,0.09766313932980608,esearch
11,11,3,1.0,0.0,esearch
12,1,1274,0.9526437439504774,60.33187020709185,esearch
12,2,336,0.9539295392953931,15.479674796747902,esearch
12,3,201,0.9533633973511797,9.373957132412881,esearch
12,4,169,0.9524539877300613,8.035276073619642,esearch
12,5,91,0.9545543546365913,4.135553728070189,esearch
12,6,29,0.9630465329396192,1.071650544751044,esearch
12,7,26,0.9942922374429225,0.148401826484015,esearch
12,8,17,0.9804673721340388,0.3320546737213407,esearch
12,9,9,0.9535104364326376,0.418406072106262,esearch
12,10,7,0.9983305509181972,0.011686143572619434,esearch
12,11,6,1.0,0.0,esearch
12,12,2,1.0,0.0,esearch
13,1,1262,0.989247311827957,13.569892473118268,esearch
13,2,286,0.9898218829516541,2.9109414758269345,esearch
13,3,251,0.990073145245559,2.4916405433646895,esearch
13,4,136,0.9900426742532006,1.3541963015647207,esearch
13,5,82,0.995331465919701,0.3828197945845173,esearch
13,6,61,0.9964358452138492,0.21741344195519863,esearch
13,7,25,0.9987437185929645,0.031407035175887166,esearch
13,8,23,0.9913793103448274,0.19827586206896974,esearch
13,9,17,0.9933230611196713,0.11350796096558824,esearch
13,10,12,1.0,0.0,esearch
13,11,6,1.0,0.0,esearch
13,12,4,1.0,0.0,esearch
13,13,2,1.0,0.0,esearch
14,1,1137,0.9977678571428569,2.5379464285717352,esearch
14,2,358,0.9977116704805492,0.8192219679633841,esearch
14,3,205,0.9981481481481481,0.37962962962963587,esearch
14,4,195,0.9995715509854327,0.0835475578406214,esearch
14,5,149,0.9999999999999998,3.3084646133829665e-14,esearch
14,6,36,0.9994879672299026,0.018433179723505333,esearch
14,7,26,1.0,0.0,esearch
14,8,21,1.0,0.0,esearch
14,9,11,1.0,0.0,esearch
14,10,8,1.0,0.0,esearch
14,11,7,0.9979296066252588,0.014492753623188692,esearch
14,12,7,1.0,0.0,esearch
14,13,4,1.0,0.0,esearch
14,14,3,1.0,0.0,esearch
15,1,1125,1.0,0.0,esearch
15,2,302,1.0,0.0,esearch
15,3,259,1.0,0.0,esearch
15,4,180,1.0,0.0,esearch
15,5,78,1.0,0.0,esearch
15,6,47,1.0,0.0,esearch
15,7,39,1.0,0.0,esearch
15,8,31,1.0,0.0,esearch
15,9,29,1.0,0.0,esearch
15,10,29,1.0,0.0,esearch
15,11,28,1.0,0.0,esearch
15,12,9,1.0,0.0,esearch
15,13,7,1.0,0.0,esearch
15,14,2,1.0,0.0,esearch
15,15,2,1.0,0.0,esearch
