k,group,size,efficiency,loss,method
1,1,2167,0.8625008269434411,297.960708013563,tracked
2,1,1638,0.9147097755989901,139.70538756885406,tracked
2,2,529,0.8764569398650572,65.35427881138473,tracked
3,1,1252,0.9687722607355288,39.09712955911794,tracked
3,2,655,0.9388934088587758,40.02481719750185,tracked
3,3,260,0.9293163024087691,18.377761373720052,tracked
4,1,1068,0.9770086598300046,24.554751301555118,tracked
4,2,569,0.978630716433765,12.1591223491877,tracked
4,3,334,0.9527035857815895,15.797002348949093,tracked
4,4,196,0.9271499712091069,14.278605643015048,tracked
5,1,1169,0.9903998681724043,11.222554106459333,tracked
5,2,433,0.9821402011622845,7.733292896730791,tracked
5,3,244,0.9830721694420349,4.130390656143483,tracked
5,4,174,0.9897779737437863,1.7786325685811852,tracked
5,5,147,0.9365059474777225,9.333625720774782,tracked
6,1,1047,0.9939455408762797,6.339018702535151,tracked
6,2,593,0.9880325560177959,7.096694281446983,tracked
6,3,234,0.9652827993132307,8.123824960704024,tracked
6,4,166,0.9727208878040396,4.528332624529421,tracked
6,5,79,0.952531923685666,3.7499780288323885,tracked
6,6,48,0.9466504382179466,2.560778965538562,tracked
7,1,918,0.9975231295749616,2.273767050185233,tracked
7,2,621,0.9898973214950879,6.273763351550425,tracked
7,3,201,0.9878184187597592,2.4484978292884008,tracked
7,4,189,0.9705467649573871,5.566661423053828,tracked
7,5,113,0.9804565176227695,2.208413508627049,tracked
7,6,67,0.9634734526562315,2.447278672032491,tracked
7,7,58,0.9915913176606812,0.48770357568049283,tracked
8,1,918,0.9975231295749616,2.273767050185233,tracked
8,2,621,0.9898973214950879,6.273763351550425,tracked
8,3,201,0.9878184187597592,2.4484978292884008,tracked
8,4,189,0.9705467649573871,5.566661423053828,tracked
8,5,113,0.9804565176227695,2.208413508627049,tracked
8,6,67,0.9634734526562315,2.447278672032491,tracked
8,7,58,0.9915913176606812,0.48770357568049283,tracked
9,1,1176,0.9996973894206086,0.355870041364306,tracked
9,2,440,0.9980959156607077,0.8377971092886102,tracked
9,3,151,0.9960043789898542,0.6033387725320254,tracked
9,4,109,0.9695400197090398,3.3201378517146583,tracked
9,5,90,0.9881145178782131,1.0696933909608148,tracked
9,6,83,0.9363720320605405,5.281121338975133,tracked
9,7,60,0.9856375298431563,0.8617482094106177,tracked
9,8,29,0.9320828012843413,1.9695987627541025,tracked
9,9,29,0.9628617507145536,1.0770092292779463,tracked
10,1,1124,0.9999977702262774,0.0025062656641604564,tracked
10,2,320,0.9997969020797227,0.06499133448873484,tracked
10,3,282,0.9974191681023717,0.7277945951311743,tracked
10,4,163,0.9977656942096962,0.36419184381951786,tracked
10,5,118,0.9965548545457582,0.406527163600531,tracked
10,6,52,0.9981360598753672,0.09692488648090192,tracked
10,7,44,0.9701138278165063,1.3149915760737203,tracked
10,8,29,0.9902138627152959,0.28379798125641875,tracked
10,9,20,0.9806822616148043,0.38635476770391397,tracked
10,10,15,0.9949079273767673,0.07638108934849108,tracked
11,1,1124,0.9999977702262774,0.0025062656641604564,tracked
11,2,320,0.9997969020797227,0.06499133448873484,tracked
11,3,282,0.9974191681023717,0.7277945951311743,tracked
11,4,163,0.9977656942096962,0.36419184381951786,tracked
11,5,118,0.9965548545457582,0.406527163600531,tracked
11,6,52,0.9981360598753672,0.09692488648090192,tracked
11,7,44,0.9701138278165063,1.3149915760737203,tracked
11,8,29,0.9902138627152959,0.28379798125641875,tracked
11,9,20,0.9806822616148043,0.38635476770391397,tracked
