k,rationality,total_loss,avg_loss,n_groups_used,best_restart
1,0.09149054505005562,1968.7399888765294,0.9085094549499444,1,0
2,0.101953125,1935.847246750971,0.8933305245735906,2,0
3,0.13643535539215684,1869.5033994762287,0.8627149974509593,3,2
4,0.22516220990349267,1667.6686201211392,0.7695748131615778,4,0
5,0.32539682539682535,1452.8572963996285,0.6704463758189333,5,3
6,0.41590210506706404,1262.2617678801466,0.5824927401385079,6,1
7,0.5229885057471263,1007.680842995969,0.4650119257018777,7,2
8,0.7595338983050849,512.7888173524549,0.23663535641553063,8,3
9,0.7652173913043478,498.78006754532913,0.23017077413259304,9,1
10,0.8362676056338026,349.81649265096047,0.16142893061880964,10,2
11,0.9281308140555341,151.88055443154246,0.07008793467076256,11,2
12,0.9473684210526313,110.98597417736526,0.05121641632550312,12,2
13,0.9775132275132276,46.031523197083736,0.021242050390901587,13,2
14,0.9851799576570219,28.42464807727062,0.013117050335611731,14,2
15,1.0,0.0,0.0,15,-1
